FCLTY_ID,FCLTY_NM,LC_LA,LC_LO,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,SEARCH_MT,SEARCH_CO,RANK_CO,FILE_NM,BASE_DE
"KC594PO23N000000844","입장거봉포도축제","127.2197586","36.91362961","충청남도","천안시 서북구","4413331021","입장면","4413331000","입장면","441334550632","충청남도 천안시 서북구 입장면 하장4길 19","2024-02-01","25.0","420","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000845","자라섬 국제재즈페스티벌","127.5208644","37.8209476","경기도","가평군","4182025022","가평읍","4182025000","가평읍","418203216034","경기도 가평군 가평읍 자라섬로 60","2024-02-01","40.0","344","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000846","장고항 실치축제","126.559482","37.031566","충청남도","당진시","4427032024","석문면","4427032000","석문면","442703265089","충청남도 당진시 석문면 장고항로 331","2024-02-01","1330.0","53","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000847","장미꽃 필(feel)무렵","128.5144577","35.85741306","대구광역시","달서구","2729010800","이곡동","2729057600","이곡1동","272903147014","대구광역시 달서구 선원남로 129","2024-02-01","2760.0","37","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000848","장미축제","127.9302965","37.3468572","강원도","원주시","4213011000","단계동","4213059000","단계동","511304457533","강원도 원주시 장미공원길 43-4","2024-02-01","1350.0","51","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000849","장보고수산물축제","126.7527592","34.31744706","전라남도","완도군","4689025021","완도읍","4689025000","완도읍","468903300028","전라남도 완도군 완도읍 해변공원로 24","2024-02-01","20.0","427","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000850","장수 한우랑 사과랑 축제","127.253641","35.6411154","전라북도","장수군","4574025027","장수읍","4574025000","장수읍","527403276041","전라북도 장수군 장수읍 한누리로 393","2024-02-01","150.0","209","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000851","전국관악경연대회","127.7260249","37.8785527","강원도","춘천시","4211010500","중앙로2가","4211054500","약사명동","511104454215","강원도 춘천시 중앙로2가 명동길 26-2","2024-02-01","30.0","382","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000852","전국합창경연대회","127.7260249","37.8785527","강원도","춘천시","4211010500","중앙로2가","4211054500","약사명동","511104454215","강원도 춘천시 중앙로2가 명동길 26-2","2024-02-01","20.0","427","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000853","전주국제발효식품엑스포","127.130912","35.8389558","전라북도","전주시 덕진구","4511310700","금암동","4511358000","금암1동","521132266001","전라북도 전주시 덕진구 기린대로 418","2024-02-01","36.0","380","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000854","전주대사습놀이","127.11964","35.8490089","전라북도","전주시 덕진구","4511310600","덕진동2가","4511357000","덕진동",,"전라북도 전주시 덕진구 덕진동2가 권삼득로 400","2024-02-01","850.0","74","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000855","전주세계소리축제","127.1315694","35.8239265","전라북도","전주시 덕진구","4511310200","진북동","4511352500","진북동","521133266067","전라북도 전주시 덕진구 전주천서로 351","2024-02-01","880.0","71","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000856","전주한지문화축제","127.1482821","35.8206764","전라북도","전주시 완산구","4511110700","경원동3가","4511153000","풍남동","521114598413","전라북도 전주시 완산구 경원동3가 현무1길 20","2024-02-01","140.0","217","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000857","정선아리랑제","128.6602287","37.38024298","강원도","정선군","4277025021","정선읍","4277025000","정선읍","517704487143","강원도 정선군 정선읍 봉양3길 17","2024-02-01","340.0","132","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
